t,phi_model_real,phi_model_imag,phi_model_abs
30.62,1.259653740694862e-05,1.3727563809084064e-06,1.2671117343233018e-05
30.63,1.2156466084006608e-05,1.882951438635165e-06,1.2301429745028063e-05
30.64,1.1711502185857147e-05,2.356277735471336e-06,1.1946184671936672e-05
30.65,1.1263284971080632e-05,2.79406392985421e-06,1.160467067968252e-05
30.66,1.0813323621442642e-05,3.197638663199484e-06,1.1276207729659719e-05
30.67,1.0363004624882438e-05,3.568326008215882e-06,1.0960146684978476e-05
30.68,9.913598844364858e-06,3.907441426280792e-06,1.0655868831156262e-05
30.69,9.466268279472069e-06,4.2162881907062505e-06,1.0362785399979489e-05
30.7,9.022072528332647e-06,4.496154235729991e-06,1.0080337078588562e-05
30.71,8.58197495795991e-06,4.748309393846848e-06,9.807993488922453e-06
30.72,8.146848591359726e-06,4.974002986716023e-06,9.545252625383985e-06
30.73,7.717481719885995e-06,5.174461737375173e-06,9.291640241008807e-06
30.74,7.294583249319368e-06,5.3508879738779846e-06,9.046709174624925e-06
30.75,6.878787788045404e-06,5.504458096734657e-06,8.810038613517554e-06
30.76,6.470660485549567e-06,5.636321284722391e-06,8.58123328804591e-06
30.77,6.0707016292290725e-06,5.747598415730937e-06,8.359922596509927e-06
30.78,5.6793510073339335e-06,5.839381181321922e-06,8.14575966041729e-06
30.79,5.296992045631359e-06,5.912731375601027e-06,7.938420312096021e-06
30.8,4.923955725202654e-06,5.968680340847172e-06,7.737602018388612e-06
30.81,4.560524288662857e-06,6.008228554066784e-06,7.54302274591475e-06
30.82,4.2069347419669305e-06,6.032345340265292e-06,7.354419775032477e-06
30.83,3.863382158939487e-06,6.0419686997502365e-06,7.17154847120017e-06
30.84,3.530022795637459e-06,6.038005238146583e-06,6.9941810237944e-06
30.85,3.206977021692399e-06,6.021330189059322e-06,6.822105163608974e-06
30.86,2.894332075835927e-06,5.992787520435914e-06,6.6551228711651245e-06
30.87,2.5921446528725006e-06,5.953190116646079e-06,6.493049088552161e-06
30.88,2.3004433294484455e-06,5.903320029145672e-06,6.335710447812172e-06
30.89,2.019230836015457e-06,5.843928789292272e-06,6.182944028813031e-06
30.9,1.7484861824284358e-06,5.775737777484206e-06,6.0345961591809406e-06
30.91,1.488166644612105e-06,5.699438643266982e-06,5.890521268147753e-06
30.92,1.2382096196872591e-06,5.6156937714573536e-06,5.750580805194462e-06
30.93,9.98534356851774e-07,5.525136789651474e-06,5.61464223314127e-06
30.94,7.690435711612964e-07,5.4283731127429905e-06,5.482578103912022e-06
30.95,5.496249471545211e-07,5.325980520310987e-06,5.35426522365737e-06
30.96,3.4015253902272974e-07,5.218509762923971e-06,5.229583912276044e-06
30.97,1.404880737401593e-07,5.106485193604668e-06,5.1084173607260135e-06
30.98,-4.951783675317051e-08,4.9904054208835895e-06,4.990651087878317e-06
30.99,-2.30024568547241e-07,4.870743980071345e-06,4.876172497106372e-06
31.0,-4.012004385228856e-07,4.747950019588016e-06,4.764870531334173e-06
31.01,-5.632217317949536e-07,4.622448999421122e-06,4.656635423931687e-06
