s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
1.3551947665949692e+01,1.2709965649897288e+00,-7.8354583955782053e-01,5.5277617413581737e-01,5.6259725670959404e-01,-8.5689392648582918e-01,-6.3431524639401484e+00,-6.3208488534776448e+00
1.3566123343424534e+01,1.2715507058434996e+00,-7.7062851000690447e-01,5.4696378401247381e-01,5.6791136956433463e-01,-8.5664313086854993e-01,-6.3552995158721632e+00,-6.3328691184621517e+00
1.3580299020899377e+01,1.2720416343671985e+00,-7.5774746047831743e-01,5.4106586359962905e-01,5.6707740270867424e-01,-8.8072386291033622e-01,-6.3674430126063957e+00,-6.3452312319769542e+00
1.3594474698374221e+01,1.2724723343701039e+00,-7.4490266928182247e-01,5.3508475737122130e-01,5.6280149416159941e-01,-8.8239956191636670e-01,-6.3799278700314099e+00,-6.3577473864076230e+00
1.3608650375849063e+01,1.2728442904870445e+00,-7.3209491236807001e-01,5.2902082151622276e-01,5.4773971935273891e-01,-9.1162430532123417e-01,-6.3924364816250785e+00,-6.3703649836911760e+00
1.3622826053323905e+01,1.2731521601945719e+00,-7.1932967201494991e-01,5.2286434704848106e-01,5.5192272657216301e-01,-9.0912841474884576e-01,-6.4053593737555401e+00,-6.3830665094263450e+00
1.3637001730798749e+01,1.2734021909611770e+00,-7.0660482554466120e-01,5.1662224459813844e-01,5.4943283529699027e-01,-9.3510345804733297e-01,-6.4182468849462353e+00,-6.3961345596400596e+00
1.3651177408273591e+01,1.2735984307938273e+00,-6.9391937907159007e-01,5.1029856746207369e-01,5.4471629314229675e-01,-9.3927285680117822e-01,-6.4315026099731245e+00,-6.4096035909524902e+00
1.3665353085748434e+01,1.2737424401750814e+00,-6.8127397138987822e-01,5.0389377321124951e-01,5.3190097211153620e-01,-9.6923239846025955e-01,-6.4448174390520112e+00,-6.4229460893167145e+00
1.3679528763223276e+01,1.2738287588050590e+00,-6.6867512395281370e-01,4.9739684658103317e-01,5.3487904443997603e-01,-9.6810265616604874e-01,-6.4585569649307519e+00,-6.4364100782512290e+00
1.3693704440698120e+01,1.2738649765451380e+00,-6.5611886991756629e-01,4.9081753568707137e-01,5.2982140051027304e-01,-9.9756897324283855e-01,-6.4722804759471000e+00,-6.4504185327827086e+00
1.3707880118172962e+01,1.2738541614987535e+00,-6.4360455338729217e-01,4.8415871280694506e-01,5.2466782706773030e-01,-1.0066846676791081e+00,-6.4864216919707012e+00,-6.4647480079285335e+00
1.3722055795647805e+01,1.2737971334467117e+00,-6.3113345183166325e-01,4.7741950341030465e-01,5.1541396946024387e-01,-1.0282133049632827e+00,-6.5006921291385895e+00,-6.4788418721517287e+00
1.3736231473122649e+01,1.2736896553109884e+00,-6.1871213926896884e-01,4.7058956316227174e-01,5.1375198692974355e-01,-1.0353950029075265e+00,-6.5152677493250906e+00,-6.4931910715519718e+00
1.3750407150597491e+01,1.2735404927395966e+00,-6.0633427726137812e-01,4.6368199345587946e-01,5.0826368006986378e-01,-1.0588676797798893e+00,-6.5299451749453716e+00,-6.5085494782543973e+00
1.3764582828072333e+01,1.2733512979354573e+00,-5.9400023298670646e-01,4.5669743866032059e-01,5.0232694592379878e-01,-1.0781765532572791e+00,-6.5449553416624671e+00,-6.5234624289567327e+00
1.3778758505547176e+01,1.2731202306525142e+00,-5.8171458819235189e-01,4.4962934004066896e-01,4.9652701698580731e-01,-1.0928746815361192e+00,-6.5602392247423795e+00,-6.5384120165182482e+00
1.3792934183022020e+01,1.2728496718483502e+00,-5.6947730059913404e-01,4.4247922857102523e-01,4.9071209932339599e-01,-1.1135645549053084e+00,-6.5757314637482569e+00,-6.5539208536632723e+00
1.3807109860496862e+01,1.2725445609385719e+00,-5.5728480828787719e-01,4.3525437930894856e-01,4.8480709686104995e-01,-1.1386280920469249e+00,-6.5915169957260105e+00,-6.5703497595842650e+00
1.3821285537971704e+01,1.2722061248809060e+00,-5.4513796700885653e-01,4.2795448455330809e-01,4.8100447769925458e-01,-1.1505580822515706e+00,-6.6076578203226637e+00,-6.5861033423414659e+00
1.3835461215446546e+01,1.2718314617732998e+00,-5.3304405630442830e-01,4.2056897316156955e-01,4.7204510221206025e-01,-1.1781688625958038e+00,-6.6239677606127358e+00,-6.6021601326071560e+00
1.3849636892921390e+01,1.2714277819550925e+00,-5.2099548793689943e-01,4.1311125526659392e-01,4.6582897670163836e-01,-1.2063031796672696e+00,-6.6406691024197952e+00,-6.6197548154146615e+00
1.3863812570396233e+01,1.2709967643497710e+00,-5.0899233044271741e-01,4.0558216517353646e-01,4.6428507806546954e-01,-1.2124733847403391e+00,-6.6577692672316360e+00,-6.6364520023059912e+00
1.3877988247871075e+01,1.2705367199458377e+00,-4.9704100490367864e-01,3.9797276864271791e-01,4.5230658932220030e-01,-1.2460277508341797e+00,-6.6749568988805459e+00,-6.6532986216971386e+00
1.3892163925345919e+01,1.2700519685340197e+00,-4.8513734095856742e-01,3.9029055054550826e-01,4.4579556592216502e-01,-1.2703744589680230e+00,-6.6926201864010748e+00,-6.6715646106729531e+00
1.3906339602820761e+01,1.2695454134424868e+00,-4.7327905617208105e-01,3.8253985728428630e-01,4.4303813198848652e-01,-1.2879508723744273e+00,-6.7106286050036843e+00,-6.6897182206837806e+00
