source_family,folder,folder_name,ideal_id_inferred,fseries_count,txt_count,coordinate_txt,component_count_in_coordinate_txt,is_link_candidate,file_examples
ideal.txt,ideal.txt,10:1:119,10:1:119,,,,1,NO,Conway=8*2:.2 0
ideal.txt,ideal.txt,10:1:12,10:1:12,,,,1,NO,Conway=4 3 1 2
ideal.txt,ideal.txt,10:1:120,10:1:120,,,,1,NO,Conway=8*2 0::2 0
ideal.txt,ideal.txt,10:1:121,10:1:121,,,,1,NO,Conway=9*2 0
ideal.txt,ideal.txt,10:1:122,10:1:122,,,,1,NO,Conway=9*.2 0
ideal.txt,ideal.txt,10:1:123,10:1:123,,,,1,NO,Conway=10*
ideal.txt,ideal.txt,10:1:124,10:1:124,,,,1,NO,"Conway=5,3,2-"
ideal.txt,ideal.txt,10:1:125,10:1:125,,,,1,NO,"Conway=5,2 1,2-"
ideal.txt,ideal.txt,10:1:126,10:1:126,,,,1,NO,"Conway=4 1,3,2-"
ideal.txt,ideal.txt,10:1:127,10:1:127,,,,1,NO,"Conway=4 1,2 1,2-"
ideal.txt,ideal.txt,10:1:128,10:1:128,,,,1,NO,"Conway=3 2,3,2-"
ideal.txt,ideal.txt,10:1:129,10:1:129,,,,1,NO,"Conway=3 2,2 1,2-"
ideal.txt,ideal.txt,10:1:13,10:1:13,,,,1,NO,Conway=4 2 2 2
ideal.txt,ideal.txt,10:1:130,10:1:130,,,,1,NO,"Conway=3 1 1,3,2-"
ideal.txt,ideal.txt,10:1:131,10:1:131,,,,1,NO,"Conway=3 1 1,2 1,2-"
ideal.txt,ideal.txt,10:1:132,10:1:132,,,,1,NO,"Conway=2 3,3,2-"
ideal.txt,ideal.txt,10:1:133,10:1:133,,,,1,NO,"Conway=2 3,2 1,2-"
ideal.txt,ideal.txt,10:1:134,10:1:134,,,,1,NO,"Conway=2 2 1,3,2-"
ideal.txt,ideal.txt,10:1:135,10:1:135,,,,1,NO,"Conway=2 2 1,2 1,2-"
ideal.txt,ideal.txt,10:1:136,10:1:136,,,,1,NO,"Conway=2 2,2 2,2-"
ideal.txt,ideal.txt,10:1:137,10:1:137,,,,1,NO,"Conway=2 2,2 1 1,2-"
ideal.txt,ideal.txt,10:1:138,10:1:138,,,,1,NO,"Conway=2 1 1,2 1 1,2-"
