q_m_inv,power
-4.8402194899556816e+16,1.3589100906707405e-09
-4.8377167911501200e+16,4.9068310496899798e-10
-4.8352140923445592e+16,7.6984321250986898e-10
-4.8327113935389976e+16,2.5965039074062806e-10
-4.8302086947334360e+16,9.9392194955293950e-10
-4.8277059959278744e+16,6.3709388056870811e-10
-4.8252032971223136e+16,1.8300563844060944e-09
-4.8227005983167520e+16,1.2641794264611013e-09
-4.8201978995111904e+16,2.3469195075884162e-09
-4.8176952007056288e+16,1.4138939746095825e-09
-4.8151925019000680e+16,2.3615569147040739e-09
-4.8126898030945064e+16,1.0589270082869283e-09
-4.8101871042889448e+16,1.5721104849431537e-09
-4.8076844054833832e+16,5.1627385271439815e-10
-4.8051817066778224e+16,8.3049363835635932e-10
-4.8026790078722608e+16,2.5543432633512736e-10
-4.8001763090666992e+16,5.1252149644477914e-10
-4.7976736102611384e+16,6.0110594874591164e-10
-4.7951709114555768e+16,9.2482935181852070e-10
-4.7926682126500160e+16,1.3626413496332910e-09
-4.7901655138444544e+16,1.5907969147151506e-09
-4.7876628150388928e+16,2.0334186601469524e-09
-4.7851601162333320e+16,2.1020587067181530e-09
-4.7826574174277704e+16,2.0086597758790956e-09
-4.7801547186222088e+16,1.9359507256431370e-09
-4.7776520198166480e+16,1.4427034352497933e-09
-4.7751493210110864e+16,1.1726581122861409e-09
-4.7726466222055248e+16,6.0106608609779079e-10
-4.7701439233999632e+16,3.9417059056890876e-10
-4.7676412245944024e+16,1.9211605889950413e-10
-4.7651385257888408e+16,2.2318000393642134e-11
-4.7626358269832792e+16,5.3011149055131636e-10
-4.7601331281777176e+16,2.9771752943486001e-10
-4.7576304293721568e+16,1.5053982300307163e-09
-4.7551277305665952e+16,9.1483545311974137e-10
-4.7526250317610336e+16,2.4266271598172230e-09
-4.7501223329554728e+16,1.4284889893862977e-09
-4.7476196341499112e+16,2.7092196790081096e-09
-4.7451169353443496e+16,1.3642678604121219e-09
-4.7426142365387880e+16,2.2406265349802249e-09
