E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,action_bem,action_pressure,action_total,pressure_Ep,pressure_kappa_eff,d_action_bem_dlogE,d2_action_bem_dlogE2,d_action_pressure_dlogE,d2_action_pressure_dlogE2,d_action_total_dlogE,d2_action_total_dlogE2,d_lambda_min_dlogE,d2_lambda_min_dlogE2
269.63829022320164,269.63829022320164,576.7105437548963,363.1337907056338,818.3057083199594,314.80954250523325,1080.2067095696225,2,3,7014.599519183414,2248.0949022440527,9262.694421427466,274.0748756567669,6736.341149140669,-0.013581045903265476,0.025395527472392487,-321.8620122494176,19243.45102554036,-321.87559329438955,19243.47642157637,-0.00446371067664586,0.008347177816109053
269.8235381709602,269.8235381709602,576.7105390976799,363.1337907052819,818.3057083189002,314.809539441579,1080.206707975001,2,3,7014.599509862102,2247.8783896255436,9262.477899487647,274.0748756567669,6736.341149140669,-0.013563616201281548,0.025366372281311556,-308.63222595397383,19283.140412925044,-308.6457895701751,19283.165777771763,-0.0044579816167242825,0.00833668957513245
270.00891338848527,270.00891338848527,576.7105344464396,363.13379070492994,818.3057083178439,314.80953638185673,1080.2067063824268,2,3,7014.599500552757,2247.670972425792,9262.27047297855,274.0748756567669,6736.341149140669,-0.013546203263103962,0.025337217090244835,-295.37515338207595,19322.911658945435,-295.3886995865032,19322.93699633202,-0.0044522595999296755,0.008326370841085229
270.1944159632136,270.1944159632136,576.7105298011681,363.1337907045779,818.3057083167905,314.809533326062,1080.2067047918968,2,3,7014.5994912553615,2247.4726694039914,9262.072160659352,274.0748756567669,6736.341149140669,-0.013528813607990742,0.025303993733002628,-282.09073825762607,19362.764932091202,-282.10426707100123,19362.79023794952,-0.00444654471357353,0.008316179237237709
270.3800459826432,270.3800459826432,576.710525161858,363.13379070422604,818.30570831574,314.8095302741896,1080.2067032034083,2,3,7014.599481969903,2247.2834993580236,9261.882981327926,274.0748756567669,6736.341149140669,-0.013511446304619312,0.025272804458841946,-268.77892418624833,19402.700402014074,-268.79243563115597,19402.725673462497,-0.004440836695721373,0.008305924068287673
270.56580353433105,270.56580353433105,576.7105205285021,363.13379070387396,818.3057083146923,314.80952722623533,1080.206701616959,2,3,7014.599472696364,2247.1034811245418,9261.702953820906,274.0748756567669,6736.341149140669,-0.013494099490344524,0.025240937156979726,-255.43965465878136,19442.718239419744,-255.45314875990152,19442.743477814307,-0.004435135895619169,0.00829516037856326
270.75168870589545,270.75168870589545,576.7105159010923,363.13379070352187,818.3057083136475,314.8095241821934,1080.2067000325465,2,3,7014.59946343473,2246.932633579049,9261.532097013778,274.0748756567669,6736.341149140669,-0.013476775959134102,0.025209069855103294,-242.07287304638885,19482.81861346375,-242.08634982444346,19482.84382456768,-0.0044294426625128835,0.00828482045614587
270.9377015850137,270.9377015850137,576.7105112796216,363.1337907031698,818.3057083126055,314.8095211420592,1080.2066984501678,2,3,7014.599454184987,2246.7709756359804,9261.370429820967,274.0748756567669,6736.341149140669,-0.013459472917020321,0.025179236636338587,-228.67852260754444,19523.001692152495,-228.6919820792973,19523.026873084193,-0.004423756065079942,0.008274946677776729
271.1238422594245,271.1238422594245,576.7105066640831,363.1337907028178,818.3057083115664,314.80951810582826,1080.2066968698214,2,3,7014.599444947122,2246.61852624878,9261.217971195902,274.0748756567669,6736.341149140669,-0.013442190364003181,0.02514804736217613,-215.25654648267664,19563.2676487095,-215.2699886728078,19563.292796248337,-0.00441807639435865,0.00826464913209568
271.31011081692606,271.31011081692606,576.7105020544689,363.13379070246566,818.3057083105298,314.8095150734955,1080.2066952915031,2,3,7014.599435721117,2246.475304409984,9261.0747401311,274.0748756567669,6736.341149140669,-0.013424930162727833,0.02511618006033345,-201.8068876923062,19603.61665451899,-201.82031262200326,19603.64177036006,-0.004412403941387311,0.008254288021322775
