selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g023_nc10_nt3_ns18_tf0p3_of2p2,10,3,18,0.3,2.2,16.371637,137.15470540383689,-339.5794203966572,12597.433408809144,-0.026956238574692194,-0.013478119287346097,137.14122728454953,9.826946328717825e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g024_nc10_nt3_ns18_tf0p3_of2p8,10,3,18,0.3,2.8,16.371637,137.15470540383689,-154.3828935158767,12597.433408809144,-0.012255106933759991,-0.006127553466879996,137.14857785037,4.467621762474784e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g025_nc10_nt4_ns14_tf0p36_of2p2,10,4,14,0.36,2.2,16.371637,137.15470540383689,842.9463025443321,14205.616397167758,0.05933894587723728,0.02966947293861864,137.1843748767755,0.00021632121808187442,PASS_SUBLEADING_CORRECTION
M_Lcert2,g026_nc10_nt4_ns14_tf0p36_of2p8,10,4,14,0.36,2.8,16.371637,137.15470540383689,539.2998625799003,14205.616397167758,0.03796384806557378,0.01898192403278689,137.1736873278697,0.00013839790604993615,PASS_SUBLEADING_CORRECTION
M_Lcert2,g027_nc10_nt4_ns14_tf0p3_of2p2,10,4,14,0.3,2.2,16.371637,137.15470540383689,25271.915911675525,14205.616397167758,1.7790087529545082,0.8895043764772541,138.04420978031413,0.0064854091141693365,PASS_SUBLEADING_CORRECTION
M_Lcert2,g028_nc10_nt4_ns14_tf0p3_of2p8,10,4,14,0.3,2.8,16.371637,137.15470540383689,13911.113818796432,14205.616397167758,0.9792685815146999,0.48963429075734993,137.64433969459424,0.0035699416167726495,PASS_SUBLEADING_CORRECTION
M_Lcert2,g029_nc10_nt4_ns18_tf0p36_of2p2,10,4,18,0.36,2.2,16.371637,137.15470540383689,680.038963128289,15277.738389406833,0.044511755980833484,0.022255877990416742,137.1769612818273,0.000162268424731669,PASS_SUBLEADING_CORRECTION
M_Lcert2,g030_nc10_nt4_ns18_tf0p36_of2p8,10,4,18,0.36,2.8,16.371637,137.15470540383689,245.40654127699594,15277.738389406833,0.01606301502368663,0.008031507511843314,137.16273691134873,5.855801657110799e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g031_nc10_nt4_ns18_tf0p3_of2p2,10,4,18,0.3,2.2,16.371637,137.15470540383689,23150.90017602225,15277.738389406833,1.5153355546442955,0.7576677773221477,137.91237318115904,0.005524183622364822,PASS_SUBLEADING_CORRECTION
M_Lcert2,g032_nc10_nt4_ns18_tf0p3_of2p8,10,4,18,0.3,2.8,16.371637,137.15470540383689,14436.35665446751,15277.738389406833,0.9449275990009939,0.47246379950049694,137.6271692033374,0.0034447509336947607,PASS_SUBLEADING_CORRECTION
