file,relative_path,input_format_detected,knot_id,harmonics_N,scale_m_per_unit,length_series_units,length_m,writhe,crossing_est,sigma,sigma_source,Hvortex_X(b0=3.000),hyperbolic_volume_meta,Hvortex_Vol(Vol/Vol(4_1)),H_used,xi,K_fluid_kg_per_m,K_energy_kg_per_m,mass_fluid_kg,mass_energy_kg,mass_fluid_over_m_e,mass_fluid_over_m_p,mass_energy_over_m_e,mass_energy_over_m_p,fit_source_txt_found,fit_rms_raw_vs_fs,fit_rel_bbox,type_meta,chiral_meta
knot_6.3.3.fseries,knot_6.3.3\knot_6.3.3.fseries,fseries,6_3_3,100,1.0,140.71496309479136,140.71496309479136,-0.04378543155173601,9,-1.0,writhe_fallback,-6.0,,,-6.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-8.311716726246964e-36,-6.945204606319498e-06,-9.124345837883973e-06,-4.969274053224378e-09,-7.624231049984055e+24,-4.152286005553223e+21,True,2.4166922254655425,0.10061020100734658,,
knot_6.3.3_ideal.txt,knot_6.3.3\knot_6.3.3_ideal.txt,ideal,6_3_3,100,1.0,140.71496309479136,140.71496309479136,-0.04378543155173601,9,-1.0,writhe_fallback,-6.0,,,-6.0,1.0,9.844625550645778e-39,8.226091068037216e-09,-8.311716726246964e-36,-6.945204606319498e-06,-9.124345837883973e-06,-4.969274053224378e-09,-7.624231049984055e+24,-4.152286005553223e+21,True,2.4166922254655425,0.10061020100734658,,
knot_6.3.fseries,knot_6.3\knot_6.3.fseries,fseries,6_3,100,1.0,103.70796027837312,103.70796027837312,0.018828159665689962,7,1.0,writhe_fallback,4.0,,,4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,4.0838641422473175e-36,3.4124445029211344e-06,4.483139887471033e-06,2.4415942924135744e-09,3.746076150419729e+24,2.0401768352963363e+21,True,0.4885925678758166,0.02316004785612226,,
knot_6.3_ideal.txt,knot_6.3\knot_6.3_ideal.txt,ideal,6_3,100,1.0,103.70796027837312,103.70796027837312,0.018828159665689962,7,1.0,writhe_fallback,4.0,,,4.0,1.0,9.844625550645778e-39,8.226091068037216e-09,4.0838641422473175e-36,3.4124445029211344e-06,4.483139887471033e-06,2.4415942924135744e-09,3.746076150419729e+24,2.0401768352963363e+21,True,0.4885925678758166,0.02316004785612226,,
knot_7.1.fseries,knot_7.1\knot_7.1.fseries,fseries,7_1,100,1.0,114.28015312042909,114.28015312042909,8.878286234688932,8,1.0,writhe_fallback,5.0,,,5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,5.62522657670544e-36,4.700394734189436e-06,6.1751999487947354e-06,3.3631190031848505e-09,5.159948124059637e+24,2.810195578340749e+21,True,0.4458026937728889,0.018334716391346987,,
knot_7.1_ideal.txt,knot_7.1\knot_7.1_ideal.txt,ideal,7_1,100,1.0,114.28015312042909,114.28015312042909,8.878286234688932,8,1.0,writhe_fallback,5.0,,,5.0,1.0,9.844625550645778e-39,8.226091068037216e-09,5.62522657670544e-36,4.700394734189436e-06,6.1751999487947354e-06,3.3631190031848505e-09,5.159948124059637e+24,2.810195578340749e+21,True,0.4458026937728889,0.018334716391346987,,
knot_7.2.5.fseries,knot_7.2.5\knot_7.2.5.fseries,fseries,7_2_5,100,1.0,153.97311692949708,153.97311692949708,8.32853065266042,11,1.0,writhe_fallback,8.0,,,8.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.2126461448293575e-35,1.0132775055132687e-05,1.331205474009923e-05,7.249971602393672e-09,1.112344741111758e+25,6.058018797684176e+21,True,3.7764922163807424,0.15020243025034385,,
knot_7.2.5_ideal.txt,knot_7.2.5\knot_7.2.5_ideal.txt,ideal,7_2_5,100,1.0,153.97311692949708,153.97311692949708,8.32853065266042,11,1.0,writhe_fallback,8.0,,,8.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.2126461448293575e-35,1.0132775055132687e-05,1.331205474009923e-05,7.249971602393672e-09,1.112344741111758e+25,6.058018797684176e+21,True,3.7764922163807424,0.15020243025034385,,
knot_7.2.6.fseries,knot_7.2.6\knot_7.2.6.fseries,fseries,7_2_6,100,1.0,139.43834115084567,139.43834115084567,0.4336735042023194,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.23544643042995e-35,1.032329243414608e-05,1.356234923144707e-05,7.386286242765552e-09,1.1332591503908425e+25,6.171922230561038e+21,True,2.806736352695135,0.1227034220230583,,
knot_7.2.6_ideal.txt,knot_7.2.6\knot_7.2.6_ideal.txt,ideal,7_2_6,100,1.0,139.43834115084567,139.43834115084567,0.4336735042023194,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.23544643042995e-35,1.032329243414608e-05,1.356234923144707e-05,7.386286242765552e-09,1.1332591503908425e+25,6.171922230561038e+21,True,2.806736352695135,0.1227034220230583,,
knot_7.2.8.fseries,knot_7.2.8\knot_7.2.8.fseries,fseries,7_2_8,100,1.0,164.86911770013765,164.86911770013765,3.4880987384582456,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.4607672557608812e-35,1.220605538857451e-05,1.6035851640768444e-05,8.733397757565304e-09,1.3399430508745167e+25,7.297557933263556e+21,True,5.646991427380195,0.19513601246292134,,
knot_7.2.8_ideal.txt,knot_7.2.8\knot_7.2.8_ideal.txt,ideal,7_2_8,100,1.0,164.86911770013765,164.86911770013765,3.4880987384582456,12,1.0,writhe_fallback,9.0,,,9.0,1.0,9.844625550645778e-39,8.226091068037216e-09,1.4607672557608812e-35,1.220605538857451e-05,1.6035851640768444e-05,8.733397757565304e-09,1.3399430508745167e+25,7.297557933263556e+21,True,5.646991427380195,0.19513601246292134,,
